TOWN,ADDRESS,Times sold,Sold date,Sold price
Liverpool,THOROLD ROAD 366 ,2,10-24-2014,326000
Liverpool,THOROLD ROAD 366 ,2,8-25-2017,455000
Liverpool,THOROLD ROAD 402 ,2,5-23-2016,310000
Liverpool,THOROLD ROAD 402 ,2,8-25-2017,450000
Liverpool,VICARAGE LANE 83A ,2,8-26-2011,145000
Liverpool,VICARAGE LANE 83A ,2,2-28-2018,250000
Liverpool,WANSTEAD LANE 45 ,2,11-18-2010,385000
Liverpool,WANSTEAD LANE 45 ,2,12-20-2017,650000
Liverpool,WANSTEAD LANE CARLISLE HOUSE FLAT 6,2,11-30-2016,137000
Liverpool,WANSTEAD LANE CARLISLE HOUSE FLAT 6,2,8-1-2017,185000
Liverpool,WANSTEAD PARK ROAD 143A ,3,12-15-2009,115000
Liverpool,WANSTEAD PARK ROAD 143A ,3,10-31-2014,190000
Liverpool,WANSTEAD PARK ROAD 143A ,3,8-23-2017,290000
Liverpool,WINGATE ROAD 19 ,2,4-26-2013,171100
Liverpool,WINGATE ROAD 19 ,2,1-19-2018,337900
Liverpool,WINGATE ROAD 2 ,2,1-31-2008,284995
Liverpool,WINGATE ROAD 2 ,2,10-20-2017,370000
Liverpool,WOODLANDS ROAD 44 ,2,5-24-2013,170000
Liverpool,WOODLANDS ROAD 44 ,2,5-8-2017,160000
Liverpool,YORK ROAD 47 ,2,3-1-2010,185000
Liverpool,YORK ROAD 47 ,2,7-14-2017,270000
